Mode,Weather,Platform,Case,Scenario,Objective,UnservedCount,ServedCustomers,TotalCustomers
Static,Cos,Multi,R102_100.txt,"06:00/08:00/14:00最低温(-15.0°C),η=0.47",11155.5514,0,100,100
Static,Cos,Multi,R102_100.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",11075.5143,0,100,100
Static,Cos,Multi,R102_100.txt,"06:00/08:00/14:00最高温(0.0°C),η=0.74",10943.0014,0,100,100
Static,Cos,Multi,R202_100.txt,"06:00/08:00/14:00最低温(-15.0°C),η=0.47",7099.0805,0,100,100
Static,Cos,Multi,R202_100.txt,"06:00/08:00/14:00平均温(-8.3°C),η=0.59",5933.7694,0,100,100
Static,Cos,Multi,R202_100.txt,"06:00/08:00/14:00最高温(0.0°C),η=0.74",5350.1865,0,100,100
Static,Real,Single,C101_25.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",1823.5613,0,25,25
Static,Real,Single,C101_25.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",1814.2043,0,25,25
Static,Real,Single,C101_25.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",1796.6042,0,25,25
Static,Real,Single,C201_25.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",1941.4511,0,25,25
Static,Real,Single,C201_25.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",1909.8779,0,25,25
Static,Real,Single,C201_25.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",1885.2383,0,25,25
Static,Real,Single,R102_25.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",4414.7317,0,25,25
Static,Real,Single,R102_25.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",4363.2902,0,25,25
Static,Real,Single,R102_25.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",4313.62,0,25,25
Static,Real,Single,R202_25.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",3215.2869,0,25,25
Static,Real,Single,R202_25.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",2613.1521,0,25,25
Static,Real,Single,R202_25.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",2058.5987,0,25,25
Static,Real,Single,C102_50.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",3094.3183,0,50,50
Static,Real,Single,C102_50.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",3076.651,0,50,50
Static,Real,Single,C102_50.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",3043.4195,0,50,50
Static,Real,Single,C202_50.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",3836.6482,0,50,50
Static,Real,Single,C202_50.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",3226.0951,0,50,50
Static,Real,Single,C202_50.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",3176.5431,0,50,50
Static,Real,Single,R101_50.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",8247.6898,0,50,50
Static,Real,Single,R101_50.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",7641.3555,0,50,50
Static,Real,Single,R101_50.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",7557.8484,0,50,50
Static,Real,Single,R201_50.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",6408.4488,0,50,50
Static,Real,Single,R201_50.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",5838.6173,0,50,50
Static,Real,Single,R201_50.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",4111.2858,0,50,50
Static,Real,Single,C101_100.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",12224.1826,8,92,100
Static,Real,Single,C101_100.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",6937.1651,0,100,100
Static,Real,Single,C101_100.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",6207.6789,0,100,100
Static,Real,Single,C201_100.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",11703.9736,6,94,100
Static,Real,Single,C201_100.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",6607.8717,0,100,100
Static,Real,Single,C201_100.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",6380.0859,0,100,100
Static,Real,Single,R102_100.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",12744.3316,1,99,100
Static,Real,Single,R102_100.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",11345.6274,0,100,100
Static,Real,Single,R102_100.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",10722.4417,0,100,100
Static,Real,Single,R202_100.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",10198.3815,1,99,100
Static,Real,Single,R202_100.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",7267.295,0,100,100
Static,Real,Single,R202_100.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",5543.8505,0,100,100
Static,Real,Multi,C101_25.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",1823.5613,0,25,25
Static,Real,Multi,C101_25.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",1814.2043,0,25,25
Static,Real,Multi,C101_25.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",1796.6042,0,25,25
Static,Real,Multi,C201_25.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",1941.4511,0,25,25
Static,Real,Multi,C201_25.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",1909.8779,0,25,25
Static,Real,Multi,C201_25.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",1885.2383,0,25,25
Static,Real,Multi,R102_25.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",4277.2392,0,25,25
Static,Real,Multi,R102_25.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",4262.1534,0,25,25
Static,Real,Multi,R102_25.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",4210.0855,0,25,25
Static,Real,Multi,R202_25.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",3120.5208,0,25,25
Static,Real,Multi,R202_25.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",2565.5073,0,25,25
Static,Real,Multi,R202_25.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",2037.4352,0,25,25
Static,Real,Multi,C102_50.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",3039.2231,0,50,50
Static,Real,Multi,C102_50.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",3023.6299,0,50,50
Static,Real,Multi,C102_50.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",2994.2995,0,50,50
Static,Real,Multi,C202_50.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",3770.7874,0,50,50
Static,Real,Multi,C202_50.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",3177.0552,0,50,50
Static,Real,Multi,C202_50.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",3145.3006,0,50,50
Static,Real,Multi,R101_50.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",7594.3113,0,50,50
Static,Real,Multi,R101_50.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",7461.7581,0,50,50
Static,Real,Multi,R101_50.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",7416.9301,0,50,50
Static,Real,Multi,R201_50.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",5737.7474,0,50,50
Static,Real,Multi,R201_50.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",4598.2818,0,50,50
Static,Real,Multi,R201_50.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",3983.9584,0,50,50
Static,Real,Multi,C101_100.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",6186.931,0,100,100
Static,Real,Multi,C101_100.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",6151.6606,0,100,100
Static,Real,Multi,C101_100.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",6085.3183,0,100,100
Static,Real,Multi,C201_100.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",7014.1249,0,100,100
Static,Real,Multi,C201_100.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",6348.2847,0,100,100
Static,Real,Multi,C201_100.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",6258.2352,0,100,100
Static,Real,Multi,R102_100.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",11766.653,0,100,100
Static,Real,Multi,R102_100.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",11156.9837,0,100,100
Static,Real,Multi,R102_100.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",10957.0371,0,100,100
Static,Real,Multi,R202_100.txt,"06:00/08:00/14:00最低温(-18.1°C),η=0.41",7678.5045,0,100,100
Static,Real,Multi,R202_100.txt,"06:00/08:00/14:00平均温(-13.1°C),η=0.51",6533.3402,0,100,100
Static,Real,Multi,R202_100.txt,"06:00/08:00/14:00最高温(-3.1°C),η=0.69",5417.8975,0,100,100
Dynamic,Cos,Single,C101_25.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",1807.4963,0,25,25
Dynamic,Cos,Single,C101_25.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",1806.7516,0,25,25
Dynamic,Cos,Single,C101_25.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",1877.9341,6,19,25
Dynamic,Cos,Single,C201_25.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",1912.0387,0,25,25
Dynamic,Cos,Single,C201_25.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",1905.6274,0,25,25
Dynamic,Cos,Single,C201_25.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",1895.4558,0,25,25
Dynamic,Cos,Single,R102_25.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",4356.8698,0,25,25
Dynamic,Cos,Single,R102_25.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",4330.0615,0,25,25
Dynamic,Cos,Single,R102_25.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",4304.0633,0,25,25
Dynamic,Cos,Single,R202_25.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",2610.4376,0,25,25
Dynamic,Cos,Single,R202_25.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",2642.3645,0,25,25
Dynamic,Cos,Single,R202_25.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",3184.9565,0,25,25
Dynamic,Cos,Single,C102_50.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",3061.231,0,50,50
Dynamic,Cos,Single,C102_50.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",3059.4052,0,50,50
Dynamic,Cos,Single,C102_50.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",3100.0587,0,50,50
Dynamic,Cos,Single,C202_50.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",3278.1504,0,50,50
Dynamic,Cos,Single,C202_50.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",3244.4894,0,50,50
Dynamic,Cos,Single,C202_50.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",3189.4614,0,50,50
Dynamic,Cos,Single,R101_50.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",7635.2417,0,50,50
Dynamic,Cos,Single,R101_50.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",7580.0691,0,50,50
Dynamic,Cos,Single,R101_50.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",7525.0764,0,50,50
Dynamic,Cos,Single,R201_50.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",4160.7347,0,50,50
Dynamic,Cos,Single,R201_50.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",4685.7384,0,50,50
Dynamic,Cos,Single,R201_50.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",6341.8283,0,50,50
Dynamic,Cos,Single,C101_100.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",6890.139,0,100,100
Dynamic,Cos,Single,C101_100.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",6888.9973,0,100,100
Dynamic,Cos,Single,C101_100.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",10751.8807,9,91,100
Dynamic,Cos,Single,C201_100.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",6487.2137,0,100,100
Dynamic,Cos,Single,C201_100.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",6457.3297,0,100,100
Dynamic,Cos,Single,C201_100.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",6389.6038,0,100,100
Dynamic,Cos,Single,R102_100.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",10883.6993,0,100,100
Dynamic,Cos,Single,R102_100.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",10786.4609,0,100,100
Dynamic,Cos,Single,R102_100.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",11194.8936,0,100,100
Dynamic,Cos,Single,R202_100.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",6099.0427,0,100,100
Dynamic,Cos,Single,R202_100.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",6606.5054,0,100,100
Dynamic,Cos,Single,R202_100.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",8933.1365,0,100,100
Dynamic,Cos,Multi,C101_25.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",1807.4963,0,25,25
Dynamic,Cos,Multi,C101_25.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",1806.7516,0,25,25
Dynamic,Cos,Multi,C101_25.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",1874.3956,0,25,25
Dynamic,Cos,Multi,C201_25.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",1918.4146,0,25,25
Dynamic,Cos,Multi,C201_25.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",1904.2948,0,25,25
Dynamic,Cos,Multi,C201_25.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",1901.081,0,25,25
Dynamic,Cos,Multi,R102_25.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",4254.6458,0,25,25
Dynamic,Cos,Multi,R102_25.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",4233.6789,0,25,25
Dynamic,Cos,Multi,R102_25.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",4229.1115,0,25,25
Dynamic,Cos,Multi,R202_25.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",2050.4699,0,25,25
Dynamic,Cos,Multi,R202_25.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",2542.4327,0,25,25
Dynamic,Cos,Multi,R202_25.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",3117.2316,0,25,25
Dynamic,Cos,Multi,C102_50.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",3008.6207,0,50,50
Dynamic,Cos,Multi,C102_50.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",3007.3904,0,50,50
Dynamic,Cos,Multi,C102_50.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",3050.8409,0,50,50
Dynamic,Cos,Multi,C202_50.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",3223.8749,0,50,50
Dynamic,Cos,Multi,C202_50.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",3187.1724,0,50,50
Dynamic,Cos,Multi,C202_50.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",3148.7464,0,50,50
Dynamic,Cos,Multi,R101_50.txt,"固定00:00调度/温度参考06:00(-15.0°C,η=0.47)",7431.4107,0,50,50
Dynamic,Cos,Multi,R101_50.txt,"固定00:00调度/温度参考08:00(-10.0°C,η=0.56)",7422.19,0,50,50
Dynamic,Cos,Multi,R101_50.txt,"固定00:00调度/温度参考14:00(+0.0°C,η=0.74)",7386.7753,0,50,50
