weight_field,baseline_value,multiplier,override_value,instance,rep,fitness,runtime_sec
route_open_penalty,525,1.1500,603.75,R102_25.txt,3,4303.0496,1.7813
route_open_penalty,525,1.1500,603.75,R102_25.txt,4,4272.8284,1.8863
route_open_penalty,525,1.1500,603.75,R102_25.txt,5,4300.8346,1.3593
route_open_penalty,525,1.1500,603.75,R201_50.txt,1,4114.8365,87.7610
route_open_penalty,525,1.1500,603.75,R201_50.txt,2,4090.4469,5.8727
route_open_penalty,525,1.1500,603.75,R201_50.txt,3,4049.7081,5.7507
route_open_penalty,525,1.1500,603.75,R201_50.txt,4,4110.9207,7.0542
route_open_penalty,525,1.1500,603.75,R201_50.txt,5,4091.8144,5.3677
route_open_penalty,525,1.1500,603.75,R202_100.txt,1,6057.1000,11.4468
route_open_penalty,525,1.1500,603.75,R202_100.txt,2,6048.0411,17.5454
route_open_penalty,525,1.1500,603.75,R202_100.txt,3,6029.8211,10.0530
route_open_penalty,525,1.1500,603.75,R202_100.txt,4,6089.9869,4.4631
route_open_penalty,525,1.1500,603.75,R202_100.txt,5,6203.7881,6.5579
route_open_penalty,525,1.3000,682.5,C102_50.txt,1,3053.8802,8.0116
route_open_penalty,525,1.3000,682.5,C102_50.txt,2,3015.3524,3.9703
route_open_penalty,525,1.3000,682.5,C102_50.txt,3,3058.2228,15.1065
route_open_penalty,525,1.3000,682.5,C102_50.txt,4,3016.9084,6.4246
route_open_penalty,525,1.3000,682.5,C102_50.txt,5,3058.2228,13.7571
route_open_penalty,525,1.3000,682.5,C201_100.txt,1,6533.7972,5.5336
route_open_penalty,525,1.3000,682.5,C201_100.txt,2,6984.6355,16.7632
route_open_penalty,525,1.3000,682.5,C201_100.txt,3,6415.8251,8.6242
route_open_penalty,525,1.3000,682.5,C201_100.txt,4,6388.3843,3.7378
route_open_penalty,525,1.3000,682.5,C201_100.txt,5,6995.7096,5.5597
route_open_penalty,525,1.3000,682.5,R102_25.txt,1,4318.4516,2.6931
route_open_penalty,525,1.3000,682.5,R102_25.txt,2,4315.0746,3.5111
route_open_penalty,525,1.3000,682.5,R102_25.txt,3,4303.0496,1.8314
route_open_penalty,525,1.3000,682.5,R102_25.txt,4,4272.8284,1.9578
route_open_penalty,525,1.3000,682.5,R102_25.txt,5,4300.8346,1.3534
route_open_penalty,525,1.3000,682.5,R201_50.txt,1,4114.8365,89.4149
route_open_penalty,525,1.3000,682.5,R201_50.txt,2,4090.4469,5.7770
route_open_penalty,525,1.3000,682.5,R201_50.txt,3,4049.7081,5.8136
route_open_penalty,525,1.3000,682.5,R201_50.txt,4,4110.9207,7.1338
route_open_penalty,525,1.3000,682.5,R201_50.txt,5,4091.8144,5.3290
route_open_penalty,525,1.3000,682.5,R202_100.txt,1,6057.1000,11.5169
route_open_penalty,525,1.3000,682.5,R202_100.txt,2,6048.0411,17.7314
route_open_penalty,525,1.3000,682.5,R202_100.txt,3,6029.8211,10.4393
route_open_penalty,525,1.3000,682.5,R202_100.txt,4,6089.9869,4.5655
route_open_penalty,525,1.3000,682.5,R202_100.txt,5,6203.7881,6.6018
route_open_penalty,525,1.5000,787.5,C102_50.txt,1,3053.8802,7.9817
route_open_penalty,525,1.5000,787.5,C102_50.txt,2,3015.3524,3.9300
route_open_penalty,525,1.5000,787.5,C102_50.txt,3,3058.2228,14.9678
route_open_penalty,525,1.5000,787.5,C102_50.txt,4,3016.9084,6.5059
route_open_penalty,525,1.5000,787.5,C102_50.txt,5,3058.2228,13.4396
route_open_penalty,525,1.5000,787.5,C201_100.txt,1,6533.7972,5.4199
route_open_penalty,525,1.5000,787.5,C201_100.txt,2,6984.6355,16.6461
route_open_penalty,525,1.5000,787.5,C201_100.txt,3,6415.8251,8.5253
route_open_penalty,525,1.5000,787.5,C201_100.txt,4,6388.3843,3.6483
route_open_penalty,525,1.5000,787.5,C201_100.txt,5,6995.7096,5.6372
route_open_penalty,525,1.5000,787.5,R102_25.txt,1,4318.4516,2.6317
route_open_penalty,525,1.5000,787.5,R102_25.txt,2,4315.0746,3.5150
route_open_penalty,525,1.5000,787.5,R102_25.txt,3,4303.0496,1.7670
route_open_penalty,525,1.5000,787.5,R102_25.txt,4,4272.8284,1.8805
